objid,u,g,r,i,z,class,redshift
1237655501887636039,19.59076,18.3121,17.68311,17.3194,17.04491,GALAXY,0.150041
1237651735780458500,19.42378,17.89777,17.57087,17.28081,17.34064,GALAXY,0.08990406
1237665536004325424,19.09349,18.90071,18.66444,18.78438,18.8752,QSO,1.117683
1237655129844416987,19.12687,17.12436,16.14771,15.71356,15.3515,GALAXY,0.08698887
1237662238561468829,19.33655,18.13779,17.53404,17.13041,16.92662,GALAXY,0.1290435
1237655504035185305,19.20699,17.2865,16.33294,15.90421,15.58465,GALAXY,0.08513638
1237655471824437651,19.10291,17.07377,15.97579,15.4734,15.07567,GALAXY,0.09462568
1237655129844416636,16.8719,14.78975,13.97029,13.5714,13.29278,GALAXY,0.03130146
1237661387620089891,19.38997,18.47451,18.25226,18.17758,18.18062,STAR,-0.0005268378
1237655742948966680,19.29213,17.95665,17.27606,16.88597,16.65635,GALAXY,0.1324895
1237655501887570534,18.89611,17.68747,17.15422,16.99094,16.68755,GALAXY,0.097943
1237662662681166124,18.40257,16.99696,16.40978,16.11462,15.8927,GALAXY,0.03149207
1237668272449519695,18.72672,18.43005,18.37357,18.50235,18.63936,STAR,0.0003416441
1237651736854135045,19.27843,17.74905,17.02025,16.61219,16.26835,GALAXY,0.04711911
1237661387083153668,17.95682,16.86934,16.42354,16.25493,16.16411,STAR,-0.0005087552
1237655502424440971,17.93456,16.65126,16.11881,15.80136,15.57493,GALAXY,0.03714333
1237655472898179084,16.32833,15.18054,15.09694,15.10276,15.17857,STAR,-0.0005666975
1237661386546217148,16.74358,15.54589,15.49015,15.52989,15.62185,STAR,-0.0004351331
1237655504035119618,18.4964,16.75647,15.87116,15.40304,15.05808,GALAXY,0.07934313
1237662663754908061,18.86548,17.65908,17.26112,17.02647,16.83315,GALAXY,0.04195389
1237659324959162417,19.39372,17.82219,16.98482,16.6173,16.33374,GALAXY,0.1427155
1237662335184077095,19.53082,19.22872,19.10057,19.12817,18.9666,QSO,0.8574401
1237662641195843669,19.46361,17.37164,16.30602,15.80863,15.45451,GALAXY,0.0941351
1237662262177562935,19.16802,18.07783,17.66737,17.41775,17.27847,GALAXY,0.03984413
1237671934970364221,19.34692,18.08696,17.38847,17.03974,16.81842,GALAXY,0.08604712
1237664852044283948,18.5609,18.00261,18.13686,17.97101,18.03468,QSO,0.5738784
1237661949202071682,16.79596,15.91772,15.6081,15.48017,15.45933,STAR,0.0004155174
1237662302985519216,16.96131,15.74257,15.65953,15.65746,15.66615,STAR,-0.001114689
1237655374113865941,18.70191,17.76345,17.65501,17.65241,17.68112,STAR,-0.0001818572
1237648705135772226,19.12278,17.94234,17.28613,16.89516,16.69047,GALAXY,0.1421489
1237662701872676881,17.16843,17.14003,16.92943,16.9167,16.98835,QSO,1.364314
1237662619726774539,19.54256,18.02094,17.10546,16.69004,16.328,GALAXY,0.1486599
1237662641195778130,18.63454,17.08591,16.42839,16.01884,15.79521,GALAXY,0.08747186
1237665567153389853,16.73402,15.29396,14.66899,14.3262,14.08513,GALAXY,0.03016598
1237662200433869111,19.07087,17.32668,16.511,16.13448,15.85542,GALAXY,0.072834
1237655130381156891,19.50434,18.1027,17.37049,16.94457,16.64848,GALAXY,0.1074335
1237667781245403152,18.69825,16.75402,15.78752,15.27282,14.89877,GALAXY,0.07292649
1237668272449388765,19.3883,17.63985,16.67943,16.22109,15.87399,GALAXY,0.1174741
1237661949201940843,19.08393,17.43489,16.53574,16.0779,15.74666,GALAXY,0.1268809
1237655373576929389,17.06613,15.90191,15.51526,15.37623,15.34536,STAR,-0.0001020133
1237667783392887081,19.15572,19.07845,18.78378,18.83791,18.83232,QSO,1.063973
1237668348144451970,19.2784,17.95436,17.00019,16.56446,16.27212,GALAXY,0.2180127
1237662306737979586,19.10081,17.21776,16.25485,15.81034,15.47736,GALAXY,0.0871615
1237659163353612428,18.53528,17.21026,16.68081,16.46075,16.38692,STAR,-0.0001994992
1237659163890548784,19.20738,18.2692,17.98932,17.86963,17.81963,STAR,-0.0005951312
1237659162279870491,18.63665,16.82418,16.03016,15.6661,15.35949,GALAXY,0.07105535
1237655468600918332,18.89951,17.57186,16.92464,16.54794,16.2865,GALAXY,0.08074114
1237655129307283670,17.04838,15.29294,14.4555,14.08517,13.75737,GALAXY,0.03654405
