iter	Passed	Remaining
254	1450	4238
255	1456	4234
256	1462	4226
257	1467	4221
258	1473	4216
259	1479	4210
260	1485	4205
261	1492	4204
262	1498	4199
263	1504	4193
264	1514	4200
265	1520	4195
266	1526	4189
267	1533	4187
268	1538	4181
269	1544	4174
270	1549	4168
271	1555	4163
272	1561	4157
273	1567	4152
274	1572	4145
275	1577	4139
276	1583	4134
277	1589	4128
278	1595	4123
279	1601	4117
280	1608	4114
281	1614	4111
282	1623	4114
283	1629	4108
284	1635	4102
285	1644	4104
286	1653	4106
287	1662	4110
288	1668	4104
289	1673	4097
290	1679	4092
291	1685	4087
292	1691	4081
293	1697	4076
294	1704	4072
295	1709	4065
296	1715	4060
297	1720	4053
298	1726	4047
299	1731	4041
300	1737	4035
301	1742	4028
302	1748	4022
303	1754	4016
304	1760	4010
305	1766	4005
306	1772	4001
307	1778	3995
308	1783	3988
309	1789	3983
310	1796	3979
311	1802	3975
312	1809	3971
313	1815	3966
314	1821	3960
315	1826	3953
316	1831	3946
317	1837	3940
318	1843	3934
319	1849	3929
320	1855	3924
321	1860	3917
322	1866	3911
323	1872	3905
324	1877	3900
325	1884	3895
326	1890	3891
327	1897	3887
328	1902	3880
329	1908	3874
330	1914	3869
331	1920	3864
332	1927	3860
333	1932	3854
334	1939	3849
335	1945	3844
336	1952	3840
337	1958	3836
338	1965	3832
339	1971	3827
340	1977	3821
341	1983	3815
342	1988	3809
343	1994	3803
344	2000	3797
345	2005	3791
346	2011	3785
347	2017	3779
348	2023	3773
349	2028	3767
350	2034	3761
351	2039	3755
352	2045	3748
353	2051	3743
354	2057	3737
355	2062	3731
356	2068	3725
357	2074	3719
358	2079	3712
359	2085	3707
360	2090	3700
361	2096	3694
362	2101	3687
363	2107	3681
364	2112	3675
365	2118	3669
366	2123	3663
367	2129	3657
368	2134	3650
369	2140	3644
370	2146	3639
371	2153	3634
372	2159	3630
373	2166	3626
374	2172	3621
375	2179	3616
376	2186	3612
377	2192	3608
378	2199	3603
379	2205	3597
380	2210	3591
381	2216	3586
382	2222	3580
383	2228	3574
384	2234	3568
385	2239	3563
386	2245	3556
387	2250	3550
388	2256	3544
389	2263	3539
390	2268	3533
391	2274	3527
392	2279	3521
393	2285	3514
394	2291	3509
395	2297	3503
396	2303	3498
397	2310	3494
398	2316	3489
399	2322	3483
400	2327	3476
401	2332	3470
402	2338	3463
403	2343	3457
404	2349	3451
405	2354	3445
406	2360	3439
407	2365	3432
408	2370	3425
409	2376	3419
410	2381	3413
411	2387	3406
412	2392	3400
413	2398	3395
414	2404	3389
415	2409	3382
416	2415	3376
417	2421	3371
418	2427	3366
419	2433	3360
420	2439	3355
421	2445	3348
422	2450	3342
423	2456	3337
424	2462	3331
425	2468	3326
426	2473	3319
427	2479	3313
428	2484	3307
429	2490	3300
430	2495	3295
431	2501	3289
432	2507	3283
433	2517	3282
434	2526	3281
435	2531	3275
436	2537	3269
437	2543	3263
438	2549	3257
439	2555	3252
440	2560	3245
441	2566	3239
442	2571	3233
443	2577	3228
444	2583	3222
445	2589	3216
446	2595	3210
447	2601	3204
448	2607	3199
449	2612	3193
450	2618	3187
451	2624	3181
452	2629	3175
453	2635	3169
454	2640	3162
455	2646	3156
456	2652	3151
457	2657	3145
458	2663	3138
459	2668	3132
460	2674	3126
461	2679	3120
462	2685	3114
463	2690	3108
464	2696	3102
465	2702	3096
466	2707	3090
467	2714	3085
468	2720	3079
469	2725	3073
470	2730	3066
471	2736	3060
472	2742	3055
473	2747	3048
474	2753	3042
475	2758	3037
476	2765	3031
477	2770	3026
478	2776	3020
479	2783	3015
480	2789	3010
481	2796	3005
482	2802	2999
483	2808	2993
484	2813	2987
485	2819	2982
486	2825	2976
487	2830	2970
488	2836	2963
489	2841	2957
490	2847	2951
491	2853	2946
492	2859	2940
493	2865	2935
494	2871	2929
495	2876	2922
496	2882	2917
497	2891	2915
498	2897	2909
499	2903	2903
500	2909	2897
501	2915	2891
502	2920	2885
503	2926	2879
504	2931	2873
505	2937	2867
506	2942	2861
507	2948	2855
508	2954	2850
509	2960	2844
510	2965	2837
511	2970	2831
512	2976	2825
513	2982	2819
514	2987	2813
515	2993	2807
516	2999	2801
517	3004	2795
518	3011	2790
519	3018	2785
520	3024	2780
521	3030	2775
522	3037	2770
523	3043	2765
524	3050	2760
525	3056	2754
526	3061	2748
527	3067	2741
528	3072	2735
529	3078	2729
530	3083	2723
531	3093	2721
532	3102	2718
533	3108	2713
534	3115	2707
535	3120	2701
536	3125	2695
537	3131	2689
538	3136	2682
539	3142	2677
540	3150	2672
541	3156	2666
542	3161	2660
543	3166	2654
544	3172	2648
545	3178	2642
546	3183	2636
547	3189	2630
548	3195	2625
549	3202	2619
550	3208	2614
551	3213	2608
552	3219	2602
553	3224	2595
554	3229	2589
555	3235	2583
556	3240	2577
557	3246	2571
558	3252	2565
559	3258	2560
560	3263	2553
561	3269	2547
562	3274	2541
563	3280	2535
564	3286	2530
565	3292	2524
566	3298	2519
567	3304	2513
568	3310	2507
569	3315	2501
570	3321	2495
571	3327	2489
572	3333	2483
573	3339	2478
574	3344	2472
575	3350	2466
576	3355	2459
577	3361	2454
578	3366	2448
579	3373	2442
580	3379	2436
581	3385	2431
582	3390	2425
583	3396	2419
584	3402	2414
585	3408	2408
586	3414	2402
587	3420	2396
588	3425	2390
589	3430	2383
590	3436	2377
591	3441	2372
592	3447	2366
593	3453	2360
594	3459	2354
595	3464	2348
596	3470	2342
597	3475	2336
598	3481	2330
599	3486	2324
600	3492	2318
601	3498	2313
602	3505	2307
603	3511	2302
604	3517	2296
605	3523	2290
606	3528	2284
607	3533	2278
608	3539	2272
609	3545	2266
610	3551	2260
611	3557	2255
612	3563	2249
613	3568	2243
614	3573	2237
615	3579	2231
616	3585	2225
617	3594	2221
618	3604	2218
619	3610	2212
620	3615	2206
621	3621	2201
622	3628	2195
623	3634	2190
624	3640	2184
625	3645	2178
626	3650	2171
627	3656	2166
628	3663	2160
629	3670	2155
630	3676	2149
631	3682	2144
632	3689	2139
633	3696	2134
634	3703	2128
635	3709	2123
636	3715	2117
637	3721	2111
638	3726	2105
639	3732	2099
640	3738	2094
641	3745	2088
642	3751	2082
643	3757	2077
644	3764	2071
645	3770	2066
646	3777	2060
647	3783	2055
648	3790	2049
649	3797	2045
650	3804	2039
651	3810	2033
652	3816	2027
653	3821	2021
654	3827	2015
655	3832	2009
656	3838	2004
657	3843	1997
658	3849	1991
659	3854	1985
660	3860	1979
661	3865	1973
662	3871	1967
663	3876	1961
664	3882	1955
665	3888	1950
666	3894	1944
667	3900	1938
668	3907	1933
669	3913	1927
670	3920	1922
671	3925	1916
672	3930	1909
673	3936	1904
674	3942	1898
675	3948	1892
676	3953	1886
677	3959	1880
678	3964	1874
679	3970	1868
680	3975	1862
681	3981	1856
682	3986	1850
683	3992	1844
684	3998	1838
685	4003	1832
686	4009	1826
687	4015	1820
688	4021	1815
689	4027	1809
690	4034	1804
691	4040	1798
692	4047	1792
693	4053	1787
694	4060	1781
695	4065	1775
696	4071	1769
697	4076	1763
698	4082	1757
699	4087	1751
700	4093	1746
701	4099	1740
702	4104	1734
703	4109	1728
704	4115	1722
705	4121	1716
706	4126	1710
707	4131	1704
708	4137	1698
709	4143	1692
710	4148	1686
711	4154	1680
712	4160	1674
713	4165	1668
714	4170	1662
715	4176	1656
716	4182	1650
717	4187	1644
718	4192	1638
719	4198	1632
720	4203	1626
721	4209	1620
722	4215	1615
723	4220	1609
724	4226	1603
725	4232	1597
726	4237	1591
727	4243	1585
728	4248	1579
729	4254	1573
730	4259	1567
731	4265	1561
732	4270	1555
733	4276	1549
734	4281	1543
735	4287	1537
736	4292	1531
737	4298	1525
738	4303	1520
739	4309	1514
740	4315	1508
741	4321	1502
742	4326	1496
743	4332	1490
744	4338	1484
745	4343	1478
746	4349	1473
747	4355	1467
748	4362	1461
749	4369	1456
750	4375	1450
751	4381	1444
752	4387	1439
753	4393	1433
754	4399	1427
755	4405	1421
756	4410	1415
757	4417	1410
758	4423	1404
759	4429	1398
760	4435	1393
761	4441	1387
762	4447	1381
763	4453	1375
764	4459	1369
765	4464	1363
766	4470	1358
767	4476	1352
768	4481	1346
769	4487	1340
770	4493	1334
771	4499	1328
772	4505	1322
773	4510	1316
774	4515	1311
775	4522	1305
776	4529	1299
777	4535	1294
778	4542	1288
779	4549	1283
780	4555	1277
781	4562	1271
782	4568	1266
783	4574	1260
784	4580	1254
785	4586	1248
786	4592	1242
787	4597	1236
788	4603	1231
789	4608	1225
790	4614	1219
791	4620	1213
792	4625	1207
793	4631	1201
794	4636	1195
795	4642	1189
796	4648	1183
797	4653	1177
798	4659	1172
799	4664	1166
800	4670	1160
801	4675	1154
802	4681	1148
803	4687	1142
804	4693	1136
805	4699	1131
806	4704	1125
807	4710	1119
808	4715	1113
809	4721	1107
810	4727	1101
811	4733	1095
812	4738	1090
813	4744	1084
814	4750	1078
815	4755	1072
816	4760	1066
817	4766	1060
818	4772	1054
819	4777	1048
820	4783	1042
821	4788	1036
822	4794	1031
823	4800	1025
824	4806	1019
825	4812	1013
826	4817	1007
827	4823	1002
828	4829	996
829	4835	990
830	4840	984
831	4846	978
832	4851	972
833	4857	966
834	4863	960
835	4868	955
836	4874	949
837	4880	943
838	4886	937
839	4893	932
840	4900	926
841	4906	920
842	4913	915
843	4919	909
844	4925	903
845	4931	897
846	4937	891
847	4942	885
848	4947	880
849	4953	874
850	4959	868
851	4964	862
852	4970	856
853	4977	850
854	4985	845
855	4991	839
856	4997	833
857	5002	827
858	5009	822
859	5016	816
860	5022	810
861	5029	805
862	5035	799
863	5041	793
864	5047	787
865	5054	782
866	5060	776
867	5067	770
868	5073	764
869	5079	759
870	5085	753
871	5091	747
872	5096	741
873	5102	735
874	5107	729
875	5113	723
876	5120	718
877	5125	712
878	5131	706
879	5137	700
880	5142	694
881	5147	688
882	5153	682
883	5158	676
884	5164	671
885	5170	665
886	5175	659
887	5182	653
888	5187	647
889	5193	641
890	5198	635
891	5204	630
892	5210	624
893	5215	618
894	5220	612
895	5226	606
896	5233	600
897	5239	595
898	5245	589
899	5252	583
900	5258	577
901	5263	571
902	5269	566
903	5275	560
904	5280	554
905	5285	548
906	5292	542
907	5298	536
908	5304	531
909	5310	525
910	5317	519
911	5322	513
912	5328	507
913	5335	502
914	5341	496
915	5351	490
916	5357	484
917	5362	479
918	5369	473
919	5379	467
920	5388	462
921	5393	456
922	5399	450
923	5406	444
924	5412	438
925	5418	433
926	5425	427
927	5431	421
928	5437	415
929	5444	409
930	5450	403
931	5459	398
932	5467	392
933	5472	386
934	5478	380
935	5484	375
936	5491	369
937	5496	363
938	5502	357
939	5508	351
940	5514	345
941	5519	339
942	5525	333
943	5530	328
944	5536	322
945	5542	316
946	5548	310
947	5553	304
948	5558	298
949	5564	292
950	5570	287
951	5576	281
952	5581	275
953	5586	269
954	5592	263
955	5598	257
956	5604	251
957	5611	246
958	5618	240
959	5625	234
960	5631	228
961	5637	222
962	5643	216
963	5650	211
964	5656	205
965	5662	199
966	5668	193
967	5674	187
968	5679	181
969	5685	175
970	5690	169
971	5695	164
972	5701	158
973	5707	152
974	5712	146
975	5718	140
976	5723	134
977	5729	128
978	5735	123
979	5740	117
980	5746	111
981	5751	105
982	5756	99
983	5762	93
984	5767	87
985	5773	81
986	5778	76
987	5784	70
988	5790	64
989	5795	58
990	5801	52
991	5806	46
992	5812	40
993	5818	35
994	5824	29
995	5829	23
996	5835	17
997	5841	11
998	5846	5
999	5852	0
