iter	MultiClass
0	0.8437109633
1	0.6786446834
2	0.5607077005
3	0.4718377371
4	0.4029387972
5	0.3480733278
6	0.3032166419
7	0.2665569741
8	0.2365296282
9	0.2115367372
10	0.1905764416
11	0.1729497303
12	0.1578839357
13	0.1455220148
14	0.1345500854
15	0.1237289953
16	0.1157996035
17	0.1090082806
18	0.1032240459
19	0.09696361113
20	0.09254912509
21	0.08816874376
22	0.08522976846
23	0.0822892132
24	0.07967822617
25	0.07740373832
26	0.07542821437
27	0.07358735469
28	0.07213467498
29	0.07077342853
30	0.069582483
31	0.06830702642
32	0.06703633594
33	0.06605457524
34	0.06512993796
35	0.06449783996
36	0.06372226564
37	0.06302991919
38	0.06249859897
39	0.06210089116
40	0.0615144334
41	0.06151432865
42	0.0611275017
43	0.06062240815
44	0.06027791746
45	0.06027782144
46	0.05979222004
47	0.05937674844
48	0.05899012662
49	0.05848769109
50	0.05802015461
51	0.05773636192
52	0.05738338216
53	0.05703315644
54	0.05673262128
55	0.05651033403
56	0.05594359974
57	0.0554446515
58	0.05511228121
59	0.05489592103
60	0.05489561988
61	0.05489540601
62	0.05471873282
63	0.05430693183
64	0.05408894804
65	0.05408882146
66	0.05378565884
67	0.05364808778
68	0.05351732543
69	0.05337707889
70	0.05322859206
71	0.05311108926
72	0.05264467011
73	0.05254222943
74	0.05219944965
75	0.0519177214
76	0.05147391506
77	0.05112713298
78	0.05101942863
79	0.05088113305
80	0.0507186185
81	0.05062000554
82	0.05048459494
83	0.05030413331
84	0.05001373266
85	0.04981048364
86	0.04973143702
87	0.04953813484
88	0.04945677936
89	0.04935930119
90	0.04926448976
91	0.04906299966
92	0.0489592496
93	0.04878552685
94	0.0485049203
95	0.04822852554
96	0.04812948049
97	0.04787744873
98	0.04761467578
99	0.04750220969
100	0.0473726607
101	0.04728029343
102	0.04717622039
103	0.04704405266
104	0.04686671606
105	0.04655257219
106	0.0464056435
107	0.04635923072
108	0.04608911221
109	0.04598373418
110	0.04577182149
111	0.04565515669
112	0.04545484502
113	0.04524534158
114	0.04514562002
115	0.0450770047
116	0.04481493445
117	0.04464108513
118	0.04455624673
119	0.04437952989
120	0.04422392445
121	0.04418494017
122	0.04409372077
123	0.04402789442
124	0.04382876991
125	0.04377962928
126	0.04369155674
127	0.04353927273
128	0.04350123556
129	0.04343836837
130	0.04319851812
131	0.04314653616
132	0.04308050467
133	0.04289671287
134	0.04274009921
135	0.04268735346
136	0.04260667449
137	0.04246966645
138	0.04240975408
139	0.0423667544
140	0.04231932031
141	0.04215901424
142	0.04211840633
143	0.04199232717
144	0.04185029988
145	0.04174036088
146	0.04165265496
147	0.04144763392
148	0.04131328828
149	0.04118989332
150	0.04100570435
151	0.0409321789
152	0.04079985404
153	0.0406594111
